Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,24.95090875025116,14.733235689125301,3251.983479076191,956.0932252119259
oberved,0.01,24.95090875025116,14.733235689125301,3251.983479076191,956.0932252119259
oberved,0.02,24.95090875025116,14.733235689125301,3251.983479076191,956.0932252119259
oberved,0.03,24.95090875025116,14.733235689125301,3251.983479076191,956.0932252119259
oberved,0.04,24.95090875025116,14.733235689125301,3251.983479076191,956.0932252119259
oberved,0.05,24.95090875025116,14.733235689125301,3251.983479076191,956.0932252119259
oberved,0.06,24.95090875025116,14.733235689125301,3251.983479076191,956.0932252119259
oberved,0.07,24.95090875025116,14.733235689125301,3251.983479076191,956.0932252119259
oberved,0.08,24.824098106754953,14.743834678796613,3381.8335991807235,1046.7942664755954
oberved,0.09,24.629483646230696,14.761880892933899,3617.6167314282516,1221.9545913322042
oberved,0.1,24.54861358884868,14.770107599426971,3727.7152395879825,1310.2701375570819
oberved,0.11,24.54861358884868,14.770107599426971,3727.7152395879825,1310.2701375570819
oberved,0.12,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.13,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.14,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.15,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.16,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.17,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.18,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.19,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.2,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.21,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.22,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.23,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.24,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.25,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.26,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.27,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.28,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.29,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.3,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.31,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.32,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.33,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.34,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.35,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.36,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.37,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.38,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.39,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.4,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.41,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.42,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.43,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.44,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.45,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.46,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.47,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.48,24.534703394916065,14.771885235425891,3749.3516054567303,1328.2877269657672
oberved,0.49,24.522546392441914,14.783428107099635,3716.5717133239305,1321.5632477362456
oberved,0.5,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.51,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.52,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.53,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.54,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.55,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.56,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.57,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.58,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.59,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.6,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.61,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.62,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.63,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.64,24.51986131257698,14.786014721333231,3709.25435513078,1320.1814989764155
oberved,0.65,24.513495574880125,14.797653381137238,3694.148414179818,1317.9408084691008
oberved,0.66,24.50486130771403,14.814045265115908,3675.463976247397,1315.5938300451082
oberved,0.67,24.49657345994598,14.830496564747964,3661.361846952885,1314.171665490725
oberved,0.68,24.484824173736012,14.854983170415643,3645.989027750728,1302.3839407501591
oberved,0.69,24.470266705323848,14.88663860481211,3621.955776049824,1282.0959075322467
oberved,0.7,24.456315675066218,14.918427396548495,3608.0735958706473,1263.4581498587875
oberved,0.71,24.44356614454009,14.948862880992976,3601.501492764506,1246.2302843205389
oberved,0.72,24.43747729182838,14.964137842431278,3571.2459277593766,1227.8055399190905
oberved,0.73,24.43165539569792,14.979485905119653,3541.0083545082707,1210.1325135360028
oberved,0.74,24.426094012462883,14.994910309428032,3510.7885530424865,1193.210241049276
oberved,0.75,24.4207870789638,15.01041432337368,3480.5863928505732,1177.0377516686087
oberved,0.76,24.415728892616478,15.026001246484658,3450.4017777641156,1161.6141231969332
oberved,0.77,24.41091409301715,15.04167441366467,3420.2346302094975,1146.9384213278054
oberved,0.78,24.406219656362442,15.057855287262432,3390.0328086959066,1133.004129415211
oberved,0.79,24.397768418187567,15.088711103291468,3360.328352975837,1119.853509533915
oberved,0.8,24.389763200064266,15.119754710598276,3344.648257635587,1108.0784940777849
oberved,0.81,24.38066015683244,15.157461116789642,3350.061737145634,1102.3732174087816
oberved,0.82,24.369642810390673,15.20598809442755,3385.968800791493,1106.502978287975
oberved,0.83,24.36586230450701,15.223762528968694,3358.249863844428,1096.5175107755988
oberved,0.84,24.36262661310824,15.240136584494161,3328.2035418054834,1087.0520003150582
oberved,0.85,24.35960196219181,15.256625310601642,3298.1770695050423,1078.3273559965971
oberved,0.86,24.356785447246068,15.273232540625587,3268.1743396087545,1070.3427255247266
oberved,0.87,24.344039842233414,15.357686699534229,3156.9864589985004,1041.2805421902708
oberved,0.88,24.341644626709957,15.374452721551284,3150.4158438370446,1037.744413625738
oberved,0.89,24.3394490633638,15.391348529695673,3146.548164037827,1034.9498143693152
oberved,0.9,24.337451104380314,15.408378270499538,3143.4005711853983,1032.8950239963508
oberved,0.91,24.335648897235288,15.425546186296732,3141.018673205503,1031.5782972811232
oberved,0.92,24.33404077985221,15.442856620532012,3140.7704935907227,1030.9979223117296
oberved,0.93,24.332625276291697,15.460314023274625,3143.5627966686075,1031.1521758742745
oberved,0.94,24.33140109295104,15.477922956952689,3149.1880033706407,1032.0393473963088
oberved,0.95,24.330367115254333,15.495688102325689,3158.4166192842063,1033.657749665246
oberved,0.96,24.329522404816576,15.513614264713352,3174.7287771129963,1036.0056855868004
oberved,0.97,24.328866197067498,15.53170638050028,3198.809151875014,1039.0814557156784
oberved,0.98,24.328671707731665,15.538419270552774,3209.3271132848854,1040.3986866604712
oberved,0.99,24.328671707731665,15.538419270552774,3209.3271132848854,1040.3986866604712
oberved,1.0,24.328671707731665,15.538419270552774,3209.3271132848854,1040.3986866604712
