Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,60.369765068746915,49.68198721856232,4317.429222490845,1433.9033130663856
oberved,0.01,52.770011114301454,49.74629507134017,4321.077011508471,1435.6000778777293
oberved,0.02,49.96430776988592,49.77689737369362,4321.616804719772,1435.6004626900599
oberved,0.03,44.98933127437712,49.9094326916054,4274.472673392772,1409.8588199058818
oberved,0.04,42.63577949770901,49.98921800504609,4233.383740308644,1391.480773252758
oberved,0.05,42.19667596832424,50.010007165995525,4220.023334383553,1385.9153499108306
oberved,0.06,36.9307055836064,50.31524233955008,4066.4661606029053,1277.7068923950565
oberved,0.07,35.983280676866684,50.3820278240283,4038.5709345714886,1264.480169625973
oberved,0.08,33.338636046613665,50.58986252957811,3893.561631517183,1140.0849450447424
oberved,0.09,32.77124492032209,50.64139992471806,3866.19560909256,1127.9313032585187
oberved,0.1,31.407507217073007,50.77998043607113,3782.111547348697,1072.355537138049
oberved,0.11,30.831361259266636,50.84905815190686,3732.0621329257056,1040.3987931986264
oberved,0.12,30.376042644763395,50.90786688224081,3714.6167313934598,1034.567258810407
oberved,0.13,30.11191615413977,50.94514211175287,3693.5092262080725,1028.4302937906723
oberved,0.14,29.937594012403203,50.97230649489389,3675.93861960694,1022.6642840107318
oberved,0.15,29.601166843782895,51.02981278956865,3635.331570362248,1001.8134344485619
oberved,0.16,29.44573553654504,51.05833868260331,3614.5905049199864,991.2585495029676
oberved,0.17,29.25187645001182,51.096660429616094,3580.2880656487037,971.4726306141408
oberved,0.18,29.076457561353866,51.13392614351632,3546.1865046328426,952.669356683853
oberved,0.19,28.790000445580212,51.19937155473575,3500.8563835379096,931.496513301712
oberved,0.2,28.511389736544658,51.267154044715916,3445.730725011983,904.4979058193161
oberved,0.21,28.38418735081164,51.29994378812849,3418.1734792855827,892.2079131635712
oberved,0.22,28.2662652314797,51.33223114243463,3390.9173060207604,880.3590878579768
oberved,0.23,28.11903333039103,51.375020903373674,3361.3195560975196,869.8033265610666
oberved,0.24,28.01831237406944,51.405953391478604,3338.2885746016027,862.3293256824136
oberved,0.25,27.933155999173017,51.433551285219664,3318.537538831477,856.1505011269612
oberved,0.26,27.82737486738805,51.4697040395014,3297.15161233677,850.5535845492094
oberved,0.27,27.770862538039207,51.490046915213746,3284.345561653055,847.4063554702459
oberved,0.28,27.705504326119193,51.51478328936699,3271.200605159671,844.3238009683165
oberved,0.29,27.644157413917597,51.53921323318947,3251.528718645297,836.1851603510602
oberved,0.3,27.582450967023515,51.565063252277426,3230.2245227785324,827.1278997672557
oberved,0.31,27.443515609275224,51.62538534130461,3162.0105943826343,791.9237074619418
oberved,0.32,27.305168355943845,51.68912790121322,3101.872859191864,766.7921943524719
oberved,0.33,27.155337320357344,51.761680919111825,3036.4490499151684,737.8793168177855
oberved,0.34,27.069987923516656,51.80468799741053,2995.0539683795273,715.6483905540052
oberved,0.35,26.903337389880306,51.892941580291854,2912.500483530596,686.1660530249237
