Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,29.68770443226524,22.054015990096588,3948.0811218653253,1181.2199172608994
oberved,0.01,29.048031649653144,22.055004376176328,3947.6185706466686,1181.0112290151374
oberved,0.02,28.264019098080034,22.068725239591757,3922.0204406105117,1169.031557769512
oberved,0.03,27.838889170266338,22.079337230050022,3905.3943842893823,1161.9459344457034
oberved,0.04,27.76613016535262,22.08199639794234,3904.3218037784427,1161.703231542064
oberved,0.05,27.689290466300776,22.08559418439939,3902.867305993875,1161.3862897297329
oberved,0.06,27.605484182208475,22.0905657360168,3892.547551863696,1157.0388154248974
oberved,0.07,27.52238947822116,22.09626511198627,3881.948543222298,1152.6185551855224
oberved,0.08,27.469865891406528,22.100513938649446,3880.7407058939502,1152.0852009343785
oberved,0.09,27.455117399369097,22.101868834315248,3880.345676518214,1151.911706227514
oberved,0.1,27.12780705649725,22.13651808702467,3812.6132814048,1127.865916020772
oberved,0.11,27.068064638786037,22.143518582875767,3810.4256605237574,1127.152768700113
oberved,0.12,27.010149625440018,22.151070689748817,3806.302893289266,1125.862332773529
oberved,0.13,26.93869400974024,22.161232526648533,3790.5793577971144,1121.3563817516444
oberved,0.14,26.842300380813754,22.176356193696574,3752.812893451099,1116.224119197309
oberved,0.15,26.77621427740765,22.18755050257556,3743.0805473303703,1115.7958005422101
oberved,0.16,26.771692747005872,22.188350717673266,3744.3957558633074,1115.8484983197793
oberved,0.17,26.740493431914437,22.194618916545025,3742.7050354882695,1114.7799726025773
oberved,0.18,26.677477356491195,22.20797998273975,3739.113622597022,1112.2649925325813
oberved,0.19,26.618539751319428,22.2213613534498,3735.411832694988,1109.7328377521965
oberved,0.2,26.553397726711996,22.237135350096167,3730.961622800375,1107.0735755066332
oberved,0.21,26.493217274361474,22.252648436424344,3726.4923785251335,1104.421322788802
oberved,0.22,26.428598897614055,22.27038361265674,3717.3151601808004,1100.5991762242056
oberved,0.23,26.356837000428392,22.291221206663288,3701.8470075220353,1095.438333684089
oberved,0.24,25.942335642298076,22.419576294705156,3644.222420933048,1060.5420189506185
oberved,0.25,25.89665849445353,22.434365090158323,3630.681365054137,1057.4562102608563
oberved,0.26,25.86800591177176,22.44413517844449,3624.590674704601,1056.270960681448
oberved,0.27,25.83920925397008,22.454551897305922,3617.2871779811308,1054.9077470493883
oberved,0.28,25.80470332705194,22.467637843929523,3604.9807220555113,1052.763032041107
oberved,0.29,25.7092653322948,22.505555219581595,3585.1896321821278,1050.0034960007285
oberved,0.3,25.67134269730156,22.52142088243821,3572.156995091031,1047.9004766712749
oberved,0.31,25.63546667127017,22.537162541373146,3559.2576176122707,1045.9899917259568
oberved,0.32,25.601477227763624,22.552790386195397,3546.4858556984077,1044.2655121657313
oberved,0.33,25.569231555060338,22.568313886512602,3533.83730945348,1042.720929449014
oberved,0.34,25.545517272595323,22.580231288842874,3527.581416469677,1041.822204587712
oberved,0.35,25.520024196000218,22.593697596731218,3523.2290494640824,1040.2838174464455
oberved,0.36,25.48869593845457,22.610938201728846,3517.294339147858,1037.7396660921697
oberved,0.37,25.2297274140681,22.75832634230719,3429.9157266187663,986.5373159825639
oberved,0.38,25.178448164405133,22.7890905259939,3397.1376484746093,965.6128781179954
oberved,0.39,25.07559258361324,22.85404624229992,3342.5370651995827,936.5461787799873
oberved,0.4,25.022212624940753,22.888909935193038,3302.4718361137516,917.2058877701361
oberved,0.41,24.91115046315694,22.963701607075084,3232.4113585462137,889.5620235093346
oberved,0.42,24.865598694987124,22.996019069396024,3192.496413774001,872.8865953100893
oberved,0.43,24.818077895891385,23.03114005159287,3154.097785393593,856.9246602030206
oberved,0.44,24.774776856581756,23.06446921090503,3120.123883750844,842.0039305733804
oberved,0.45,24.474513025127266,23.301913372900938,2726.966538632784,731.2393059994461
