Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,57.73857623942435,48.244366202327676,10920.977234649536,4865.913896824493
oberved,0.01,57.73857623942435,48.244366202327676,10920.977234649536,4865.913896824493
oberved,0.02,57.73857623942435,48.244366202327676,10920.977234649536,4865.913896824493
oberved,0.03,57.541381076165536,48.24961764553664,10924.20117732138,4868.308839626667
oberved,0.04,57.37853922279804,48.25614071864431,11043.398264995012,4917.817743624887
oberved,0.05,54.31008788956393,48.40872627069953,10961.076218323054,4811.018244196816
oberved,0.06,52.72721790656247,48.50272473309823,11055.320258208598,4910.098773482762
oberved,0.07,50.564310863882156,48.655338329146616,11112.889551957242,4974.732110942396
oberved,0.08,50.44424562162712,48.66510133057998,11109.982276730489,4973.4715549098055
oberved,0.09,50.25329553147664,48.68293861759108,11103.160600424293,4970.092466701418
oberved,0.1,50.045458161659916,48.70472405557319,11094.939868043528,4966.267183734681
oberved,0.11,48.30882590105546,48.91648596763511,10995.23757062256,4896.232456241552
oberved,0.12,47.92748982954453,48.9661434627573,11111.44566236115,4944.925176104748
oberved,0.13,47.68151043564261,49.0010172959818,11191.634464156683,4981.921222223737
oberved,0.14,47.54228548828079,49.02267481864461,11187.966649875274,4979.89531779603
oberved,0.15,46.09723670850302,49.266859405305134,11048.71928980842,4934.278648609137
oberved,0.16,45.82083504775191,49.31759204664892,11005.969116884737,4926.512553796065
oberved,0.17,45.74745066943895,49.332043404187814,11001.220025286766,4925.366683042232
oberved,0.18,45.68730185994883,49.344796534555485,10996.650003284589,4924.381077566707
oberved,0.19,45.632184828532736,49.357302726567404,10992.145626221029,4923.445251160377
oberved,0.2,44.588741073049896,49.613627705922354,10734.550450923442,4667.83923990778
oberved,0.21,43.563119305391695,49.87294632955583,10667.458459582229,4626.893817188485
oberved,0.22,43.30634565616398,49.94221007221096,10620.801611365561,4594.541420326444
oberved,0.23,43.22032722788915,49.96713931626232,10593.260905772686,4576.224313159329
oberved,0.24,43.14589526459766,49.989998172087624,10566.579849011552,4558.960337709673
oberved,0.25,43.07629850737805,50.01257719016506,10540.207075398517,4542.588364081809
oberved,0.26,42.990405781871395,50.04207720225742,10510.14665351353,4524.705068500318
oberved,0.27,42.9507622773422,50.05630965721579,10499.773821622053,4520.016899726272
oberved,0.28,42.91914816337323,50.06831481993873,10493.90783679884,4518.298448894636
oberved,0.29,42.88022175859573,50.083828154535155,10487.102329724186,4516.32219083158
oberved,0.3,42.0382977745736,50.43549796203637,10336.701233425047,4427.216400412919
