Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,42.575465320982374,36.25300592961403,2987.344136759234,720.6734156264828
oberved,0.01,39.78265316625838,36.26873061199289,2971.120562591834,713.8656901785656
oberved,0.02,39.14291423973449,36.27825753266108,2958.4849279551695,708.9124283163663
oberved,0.03,37.326328878025706,36.32973130037397,2956.3491989120225,708.7810114841172
oberved,0.04,36.924437729076864,36.3436209506464,2956.3496717641683,708.7811087968208
oberved,0.05,34.1684874259307,36.474074306586935,2955.856742086836,708.5400530621671
oberved,0.06,31.144505457344493,36.65246942470059,2954.536429689118,708.0946093146312
oberved,0.07,30.464466376868092,36.700428256508694,2839.0262725899015,653.0187816000864
oberved,0.08,30.411172479822163,36.70481729612065,2837.08036788768,652.4433550061315
oberved,0.09,30.307056052409624,36.71438625930763,2835.1095794920393,651.9397174550628
oberved,0.1,29.857720638468905,36.76006365778508,2755.401725476296,621.2724577339037
oberved,0.11,29.198487095461147,36.83889800715208,2604.754679274875,545.5208536802247
oberved,0.12,29.147089630187306,36.84557007327776,2604.0755130681887,545.2287560325069
oberved,0.13,28.867078967680342,36.88634326644091,2598.2233616877757,542.6360933917446
oberved,0.14,28.808534744640813,36.895476910284316,2593.764414928864,541.0197614339263
oberved,0.15,28.536137666346907,36.94028259219564,2536.048536505647,523.8460761176609
oberved,0.16,28.48523673626759,36.949733317993164,2528.5821682731294,520.8756717210116
oberved,0.17,28.237535596990707,36.998621562013426,2460.6497413468223,494.410992301256
oberved,0.18,28.14967998188717,37.01724926424802,2439.708750723898,487.2573379504186
oberved,0.19,28.072105580684074,37.034810437410016,2414.476361800922,479.09078881102533
oberved,0.2,27.994330408180883,37.05365013658701,2395.0190231103415,473.0834119554061
oberved,0.21,27.934682019658016,37.06901506891874,2376.9588209400886,467.9768508782386
oberved,0.22,27.664683134712575,37.143411422753104,2387.3471909844,465.60556021069254
oberved,0.23,27.626918380543138,37.15436586335812,2381.412587764661,463.6907743050759
oberved,0.24,27.572194739428134,37.17111704052408,2374.6594892282105,461.4691644086525
oberved,0.25,27.537435390832027,37.182403486053225,2369.272512551184,459.84602280593714
oberved,0.26,27.49523888311445,37.196824620803234,2363.068494670464,458.07187453034044
oberved,0.27,27.467329708497466,37.206885047512465,2360.268700747211,457.263281354666
oberved,0.28,27.441061772922623,37.21684683766115,2357.477828757027,456.4725547662442
oberved,0.29,27.22916018572949,37.30218741981799,2293.5308541332324,431.5857317049613
oberved,0.3,27.205764994472656,37.31197524751016,2290.756795722709,430.82983047916593
oberved,0.31,27.114600128117104,37.3518619701162,2277.865105988785,426.8831563376271
oberved,0.32,27.112465489612042,37.352837257000104,2277.744624846856,426.86440091651997
oberved,0.33,27.111051273064085,37.35351807985757,2277.678776727273,426.8573931961027
oberved,0.34,27.109707924830452,37.35419471361095,2277.6130055262743,426.85050866094383
oberved,0.35,27.101935702899453,37.35831522971445,2275.230555818808,426.21991834535595
oberved,0.36,27.07944510761402,37.370758769307,2262.3799984079137,419.1771558167571
oberved,0.37,27.0457765528414,37.39012985542378,2241.454671287226,407.1126281606673
oberved,0.38,27.006841697143276,37.41348821305158,2220.7811008536246,395.5958980596306
oberved,0.39,26.967622275295017,37.43805689170844,2199.976486620284,384.5305974660045
oberved,0.4,26.925255956505975,37.46571478463668,2178.5310448149153,373.7648943991172
oberved,0.41,26.879112426532966,37.49713261816286,2155.9620523339677,363.22279061747776
oberved,0.42,26.833799064152586,37.5292771317519,2133.9188364319557,353.25237133507864
oberved,0.43,26.777823618745664,37.57077983987727,2098.188368746891,335.9158977553987
oberved,0.44,26.690160447326456,37.638268400861975,2018.9715027336292,298.30200279287345
oberved,0.45,26.59929439130982,37.711085525021375,1968.9114624064043,271.804709266775
oberved,0.46,26.42603691789493,37.85477021559076,2002.4833939247274,267.98218551027
oberved,0.47,26.348479694819055,37.92218333363219,2028.4291227678943,269.9592001262531
oberved,0.48,26.311419841005623,37.955692823179156,2033.5870367201958,271.08083537236246
oberved,0.49,26.273949636909983,37.99102059040132,2035.0701738797104,270.5908385042333
oberved,0.5,26.228335743601086,38.035728207136735,2025.1731791216412,265.05141735198333
oberved,0.51,26.190669202371932,38.07409963421449,2009.1291942434173,258.71875419182305
oberved,0.52,26.130869298314078,38.13762279711577,2027.5172992064977,262.29214808715625
oberved,0.53,26.07184380028255,38.2028574936706,2060.6121951759105,275.32145940651384
oberved,0.54,26.032075087921573,38.24847084385084,2066.9828051357,278.40039089748524
oberved,0.55,25.984523246760503,38.30573440629791,2054.399114284124,275.52923455085875
oberved,0.56,25.940511431366584,38.3606292889823,2116.156130845625,292.7657001633006
oberved,0.57,25.89857018056824,38.415101733685916,2214.223523262491,324.01786351512925
oberved,0.58,25.858236598927764,38.46966780148511,2351.901424494718,368.507214955089
oberved,0.59,25.819450073302463,38.524339960700466,2517.2411311556184,426.0130675924704
