Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,72.558432433655,63.815805323576264,9700.087881040465,4324.3206212050645
oberved,0.01,66.31368339729777,63.85791984175179,9749.803431011302,4340.327830610316
oberved,0.02,61.357311305751004,63.93617600961092,9752.80600845151,4360.867385760033
oberved,0.03,60.44586631008195,63.96249713572546,9743.253968372632,4339.773325005683
oberved,0.04,56.606832903252155,64.11208763091656,9744.598034904062,4333.914312654336
oberved,0.05,51.83777967546884,64.35129637301006,9700.527975620722,4325.70074493263
oberved,0.06,50.74585712218761,64.41365925430974,9609.980811457532,4285.850265345462
oberved,0.07,50.49617374142532,64.43083980665716,9585.456150397653,4267.556592546017
oberved,0.08,50.23123635710269,64.45260300361987,9576.74439694163,4262.69494215377
oberved,0.09,49.573736319822196,64.51250340473692,9592.734816458718,4257.845598642412
oberved,0.1,45.45799723409281,64.930247193158,9533.812594314575,4201.371728984056
oberved,0.11,45.11306118658308,64.9704895436312,9518.731263000638,4188.892517094859
oberved,0.12,44.786700145414514,65.01355369894557,9485.19141160317,4181.434153469361
oberved,0.13,44.475202777325244,65.05823484478621,9436.397058578847,4150.608522016049
oberved,0.14,44.1593239692083,65.10748959250019,9377.504179092377,4115.407779056306
oberved,0.15,41.345708239561056,65.60218523496187,9167.562907555846,3996.7833915028345
oberved,0.16,41.123792034795066,65.64284859430195,9149.056859046992,3984.0546097436572
oberved,0.17,41.01917378786426,65.66341626251928,9137.065756294183,3979.1891794486655
oberved,0.18,38.15082673498135,66.28873204261802,8575.692045754407,3470.272630435294
oberved,0.19,37.91466531925762,66.34204275846878,8518.92160412784,3439.289154270853
oberved,0.2,37.698049718705214,66.39435410602732,8472.058279006187,3412.9925885567473
oberved,0.21,37.56923249850041,66.42756011528017,8447.14631148118,3398.6811354351466
oberved,0.22,37.481861724265194,66.45146596166676,8434.491312980994,3391.4630190702815
oberved,0.23,37.365471407813104,66.48532674994335,8407.631569725467,3374.734348084003
oberved,0.24,37.23857123423126,66.5242991570093,8368.303547914775,3350.3504100805017
oberved,0.25,36.921475620825355,66.62781549716334,8250.215298629679,3287.835692581129
