Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,71.27835892259435,62.34515345467797,8050.780675722216,3054.515155278551
oberved,0.01,69.35193344719917,62.350991077568516,8071.17149380394,3056.1264771617343
oberved,0.02,63.86937261030025,62.41910899244,8074.835594275946,3056.5145234153138
oberved,0.03,51.823124562912184,62.69755878029864,8076.902959988911,3054.1488518842866
oberved,0.04,50.19084585016908,62.7578653274659,8001.348895330418,2975.6661695125517
oberved,0.05,49.200593157024244,62.80423270431518,7970.998229339162,2950.6293168636394
oberved,0.06,48.09543275750693,62.86713815858602,7944.389574890833,2927.800478654011
oberved,0.07,44.73059346630707,63.090308531448024,7832.486686428374,2843.2852988737723
oberved,0.08,44.35261782365163,63.12085786389998,7812.396331539675,2828.1355045351092
oberved,0.09,43.363213523949526,63.2146506440346,7778.393871183085,2806.6965938778626
oberved,0.1,42.90249505634726,63.263136122398556,7774.198210713395,2804.9108275252324
oberved,0.11,41.85681568062639,63.382891868586015,7693.2280173615945,2733.319143678161
oberved,0.12,41.336592500669866,63.450389840244355,7655.7530633078195,2702.7569219988436
oberved,0.13,40.87245268685879,63.51643989501519,7556.643969251354,2627.947327841313
oberved,0.14,40.376006711683885,63.59389302332177,7535.625472723047,2610.6704093575336
oberved,0.15,39.750645411786735,63.700342998934815,7432.495890476843,2524.676628233985
oberved,0.16,39.41668259029913,63.76223325502743,7399.542529729718,2501.3463673781152
oberved,0.17,39.07485875119414,63.82999301052559,7374.63812018448,2486.158727748853
oberved,0.18,38.39837109382678,63.972757658219,7193.559837197787,2373.907713076956
oberved,0.19,38.10811387586695,64.03919648391738,7123.4952157989155,2324.8435704976573
oberved,0.2,37.91260860870116,64.08653883205466,7075.759621318633,2293.138542226798
oberved,0.21,37.74004910628662,64.13099579058573,7029.248005008949,2262.7410619616553
oberved,0.22,37.58649201426033,64.17303866640975,6983.650365266897,2233.618709462984
oberved,0.23,37.440035104154305,64.21544370959025,6941.3747125981445,2208.181299077385
oberved,0.24,37.33431190284605,64.24790386520931,6908.393685665866,2189.1082724854205
oberved,0.25,37.22017968417896,64.28488683377181,6933.544649180105,2192.8243760481632
oberved,0.26,37.120231582087946,64.31909729574316,6916.145222152133,2180.136308495042
oberved,0.27,36.42712092001,64.56940249334428,6739.473955049642,2086.784231891659
oberved,0.28,36.2889444853712,64.62155003312948,6684.696945632334,2054.837237088162
oberved,0.29,36.19384764610702,64.65944834975676,6647.455911177451,2035.4955570259067
oberved,0.3,36.10317470876209,64.69738761715323,6610.387191255274,2016.7182748342645
oberved,0.31,35.79766393382614,64.83207002567057,6360.658881919296,1911.669194175067
oberved,0.32,35.495458254570025,64.97065854686994,6241.2961761974,1851.7890661454858
oberved,0.33,35.41394237247013,65.00988764351476,6199.859991628725,1830.985797142007
oberved,0.34,35.34028163191833,65.04698996896418,6163.509979267223,1813.24409037668
oberved,0.35,35.24467874943835,65.09738073933958,6190.920357070093,1805.1558162632623
oberved,0.36,35.13525665190441,65.15765109302144,6226.663056415435,1777.108132013713
oberved,0.37,35.01628764676669,65.2259712982769,6262.810904704804,1745.901183630414
oberved,0.38,34.80721875133658,65.35202960510951,6159.258433949634,1690.238585321828
oberved,0.39,34.710435235535,65.41261663521105,6077.609864122314,1638.2698580166518
oberved,0.4,34.628200025352875,65.46630203208196,6011.504408146699,1590.0133845229798
oberved,0.41,34.544689620920565,65.52316600755275,5940.063900124151,1540.4658807477683
oberved,0.42,34.466242092001025,65.57879196193048,5883.685792841091,1506.173520935372
oberved,0.43,34.38626262504896,65.63791643342877,5845.3574285316445,1491.74006823866
oberved,0.44,34.287544584070616,65.71400775723104,5783.3175290963845,1468.7518953314304
oberved,0.45,34.222168231423495,65.76636599879588,5726.329004868037,1450.7681988779664
oberved,0.46,34.14849948445574,65.8279756404095,5656.653973989071,1429.4384746132728
oberved,0.47,34.047724444688974,65.9159895099902,5552.347751420366,1397.279157173663
oberved,0.48,33.99645518024349,65.96233826671848,5505.396117625863,1382.9653137815956
oberved,0.49,33.94848249571076,66.00754578816836,5462.136174225161,1369.1107000927657
oberved,0.5,33.87246795855824,66.08250161780612,5363.1768103726645,1339.8093007975735
oberved,0.51,33.822562993019844,66.13341141340578,5308.87607244404,1326.2022817299046
oberved,0.52,33.76401474750605,66.19559646700661,5232.623972280588,1288.0796025536242
oberved,0.53,33.717494533073875,66.24697136841296,5168.56946530022,1252.2715235402957
oberved,0.54,33.67072035404252,66.30078361318049,5099.216638395701,1217.956369479002
oberved,0.55,33.61963199901494,66.36198242053158,5025.893277317375,1182.0227189471123
oberved,0.56,33.54664493523782,66.45298055435333,4933.3322527712035,1142.0621544679436
oberved,0.57,33.500870889508576,66.51239650255442,4870.3812324980545,1109.1461557400605
oberved,0.58,33.46121534898137,66.56606598386202,4816.761316981688,1077.3577234002923
oberved,0.59,33.42078417698522,66.6230116309119,4760.702370580301,1045.7517459042208
oberved,0.6,33.38464329580539,66.67611476500772,4698.641410515682,1014.6985916439822
oberved,0.61,33.32609657613566,66.7658334840045,4577.68560524901,974.9176412197388
oberved,0.62,33.297242598177085,66.81192270364674,4526.576782088907,947.7861385923727
oberved,0.63,33.26564475277921,66.86460283917745,4467.028389579941,919.3416176599784
oberved,0.64,33.18186570139482,67.01077605629636,4270.10032905211,808.1467153165281
oberved,0.65,33.15803848295756,67.05406584309392,4214.315642890828,783.9800013619928
oberved,0.66,33.115947925582645,67.13338696212115,4118.776182988397,756.0635787079509
oberved,0.67,33.090029478278225,67.18483483550592,4058.684673457294,733.8649771178071
oberved,0.68,33.0428484310023,67.28385748528414,3898.9579492013318,655.9555685589859
oberved,0.69,33.00211077406184,67.37166427973303,3795.3662240620724,630.8246058111765
oberved,0.7,32.981542995722705,67.41855370413373,3744.5550339538536,613.7783180760713
oberved,0.71,32.950618984083775,67.4926774470229,3662.5693363068904,595.4745424977816
oberved,0.72,32.92674831246468,67.55253787404179,3569.8078994044677,573.5144918264498
oberved,0.73,32.9126134807057,67.5896445635517,3536.8611221878987,567.5457147301
oberved,0.74,32.90505454392797,67.61060914953217,3524.3016953828323,564.5949161017735
oberved,0.75,32.89784145087039,67.63168193956719,3511.772098029027,561.7019277725275
oberved,0.76,32.88983550063392,67.65642207205892,3492.062364129917,555.7953646849519
oberved,0.77,32.87439257909283,67.7063281038285,3445.0520608674396,537.1525663085192
oberved,0.78,32.8643726779338,67.74083992401818,3406.1225440445346,524.1116590110055
oberved,0.79,32.85583316094698,67.77199306459156,3370.24163960417,511.86365952328396
oberved,0.8,32.848036444900025,67.802228117218,3335.280597142868,500.281535810888
oberved,0.81,32.840666268975,67.83265273302229,3300.3389113115554,489.31726232531
oberved,0.82,32.833715281187935,67.86327367958118,3265.5486450609583,478.9705014837878
oberved,0.83,32.82718042696596,67.89408013240276,3230.9674542601315,469.25016703106434
oberved,0.84,32.821128622683176,67.9246928660626,3196.684377172722,460.14931091026335
oberved,0.85,32.815898700120556,67.9532035150866,3161.553840302254,451.6599119601475
oberved,0.86,32.811028665372845,67.9819190691802,3126.4502817165358,443.79702145184774
oberved,0.87,32.806513879628156,68.01084628921146,3091.961669785113,436.5602757679882
oberved,0.88,32.80235007483736,68.03999207676726,3058.9755187173096,429.9493071474296
oberved,0.89,32.79853334223454,68.06936348247453,3027.4338173341894,423.96374141461416
oberved,0.9,32.795058487808404,68.09898108009162,2997.5351441772755,418.60043107831694
oberved,0.91,32.79196156829056,68.12847087621837,2968.3794124158503,413.86506131057183
oberved,0.92,32.79057373569555,68.14340047376992,2965.1468213579647,411.82511063742794
oberved,0.93,32.78936519652727,68.15830538505341,2962.5338837840573,409.8563863915905
oberved,0.94,32.788320004160674,68.17333967154713,2960.6477839556874,407.9345892990251
